#Murmur scores
AUROC,AUPRC,F-measure,Accuracy,Weighted Accuracy,Cost
0.500,0.333,0.097,0.170,0.473,14956.809

#Outcome scores
AUROC,AUPRC,F-measure,Accuracy,Weighted Accuracy,Cost
0.604,0.566,0.331,0.495,0.830,14956.809

#Murmur scores (per class)
Classes,Present,Unknown,Absent
AUROC,0.500,0.500,0.500
AUPRC,0.170,0.059,0.771
F-measure,0.291,0.000,0.000
Accuracy,1.000,0.000,0.000

#Outcome scores (per class)
Classes,Abnormal,Normal
AUROC,0.604,0.604
AUPRC,0.554,0.579
F-measure,0.662,0.000
Accuracy,1.000,0.000
